City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
109,Cabedelo,BR,77.67,-6.9811,-34.8339,Hotel Pigalle
111,Tonantins,BR,79.18,-2.8731,-67.8022,Hotel Rei Davi
114,Pangai,TO,80.71,-19.8,-174.35,Ha'apai Beach Resort
120,Kutum,SD,86.16,14.2,24.6667,Dibbo areaمنطقة دبو
121,San Cristobal,VE,77.18,7.7669,-72.225,Posada Villaven C.A.
124,Micheweni,TZ,76.44,-4.9667,39.8333,
128,Vila Velha,BR,78.75,-20.3297,-40.2925,Quality Suites Vila Velha
133,Faanui,PF,80.1,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
135,Lorengau,PG,80.94,-2.0226,147.2712,Lorengau Harbourside Hotel
148,Hithadhoo,MV,83.34,-0.6,73.0833,Scoop Guest House
150,Tezu,IN,75.88,27.9167,96.1667,Circuit House
152,Mbandaka,CD,76.69,0.0487,18.2603,Guest House Epervier
154,Arraial Do Cabo,BR,75.16,-22.9661,-42.0278,Pousada Porto Praia
155,Caramoan,PH,80.53,13.7707,123.8631,LBB Ricardo's Inn Unit A
157,Tecalitlan,MX,82.85,19.4667,-103.3,Hotel Tierra Bella
158,Lagos,NG,80.92,6.5833,3.75,
159,Ewa Beach,US,84.69,21.3156,-158.0072,Uncle Junior Robert
161,Akyab,MM,82.56,20.15,92.9,Hotel Memory
167,Allapalli,IN,86.2,19.4167,80.0667,Hotel IK Residency
169,Hobyo,SO,78.58,5.3505,48.5268,Halane Hotel and Restaurent
176,Khash,IR,78.93,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
184,Muborak,UZ,86.07,39.2553,65.1528,Muborak temiryoʻl vakzali
188,Kontagora,NG,85.14,10.3999,5.4695,Queens Guest Inn
192,Lompoc,US,83.7,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
194,Isla Mujeres,MX,87.85,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
204,Mattru,SL,75.24,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
205,Kahului,US,83.97,20.8947,-156.47,Maui Seaside Hotel
206,Burhar,IN,84.09,23.2167,81.5333,REPL Camp
210,Marsa Matruh,EG,75.4,31.3525,27.2453,Beau Site
218,Tiassale,CI,77.07,5.8983,-4.8283,Hotel La Villa Des Hotes Tiassale
224,Port-Gentil,GA,80.56,-0.7193,8.7815,Fengshui Residence
226,Juba,SS,76.84,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
227,Kavieng,PG,81.84,-2.5744,150.7967,Nusa Island Retreat
239,Tiznit,MA,77.76,29.5833,-9.5,
242,Ruston,US,75.85,32.5232,-92.6379,"Country Inn & Suites by Radisson, Ruston, LA"
243,Brejinho,BR,79.45,-6.1908,-35.3567,Recanto da Rosa
247,Semnan,IR,82.49,35.5729,53.3971,Semnan Tourist Hotel
250,Nabire,ID,76.68,-3.3667,135.4833,Hotel Nusantara Nabire
251,Cockburn Town,TC,80.35,21.4612,-71.1419,Osprey Beach Hotel
