City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Mount Isa,AU,2021-05-30 20:04:10,-20.7333,139.5,49.77,53,8,2.3
185,Maceio,BR,2021-05-30 20:02:06,-9.6658,-35.7353,76.44,94,75,9.33
186,Shatsk,RU,2021-05-30 20:04:10,54.0258,41.7119,42.75,94,100,14.52
187,Huarmey,PE,2021-05-30 20:04:11,-10.0681,-78.1522,70.63,77,36,11.48
188,Chara,RU,2021-05-30 20:04:11,56.9064,118.2631,44.22,84,88,1.05
189,Bandarbeyla,SO,2021-05-30 20:04:12,9.4942,50.8122,79.14,85,82,27.31
190,Souillac,MU,2021-05-30 20:01:05,-20.5167,57.5167,73.36,84,5,6.51
191,Avarua,CK,2021-05-30 20:04:12,-21.2078,-159.775,75.25,69,46,4.61
192,Road Town,VG,2021-05-30 20:00:58,18.4167,-64.6167,86.04,66,40,10.36
193,Malinovoye Ozero,RU,2021-05-30 20:04:13,51.6753,79.7825,58.03,60,6,5.95
194,Charleston,US,2021-05-30 20:04:13,32.7766,-79.9309,75.02,66,90,3.0
195,Bethel,US,2021-05-30 20:04:13,41.3712,-73.414,50.49,91,100,1.01
196,Seoul,KR,2021-05-30 20:02:37,37.5683,126.9778,63.91,89,100,3.83
197,Saint-Francois,FR,2021-05-30 20:04:14,46.4154,3.9054,63.84,54,0,3.44
198,Troitsko-Pechorsk,RU,2021-05-30 20:04:14,62.7084,56.1964,35.33,71,12,5.32
199,Miandrivazo,MG,2021-05-30 20:04:15,-19.5167,45.4667,70.03,65,0,1.97
200,Sept-Iles,CA,2021-05-30 20:04:15,50.2001,-66.3821,54.19,46,0,3.69
201,Ahipara,NZ,2021-05-30 20:04:15,-35.1667,173.1667,57.18,85,69,24.72
202,Geraldton,AU,2021-05-30 20:04:16,-28.7667,114.6,57.61,94,75,18.75
203,Collie,AU,2021-05-30 20:04:16,-33.3667,116.15,51.98,85,94,8.05
204,Ostrovnoy,RU,2021-05-30 20:04:17,68.0531,39.5131,42.69,82,100,10.2
205,Katsuura,JP,2021-05-30 20:04:17,35.1333,140.3,66.31,78,4,12.77
206,Hasaki,JP,2021-05-30 20:01:56,35.7333,140.8333,59.29,72,46,11.03
207,Poya,NC,2021-05-30 20:04:18,-21.35,165.15,67.66,69,96,5.84
208,Hala,PK,2021-05-30 20:04:18,25.8131,68.4227,88.88,51,0,20.51
209,Del Rio,US,2021-05-30 20:04:19,29.3627,-100.8968,89.71,54,40,11.5
210,Roald,NO,2021-05-30 20:03:40,62.5833,6.1333,55.45,81,20,10.36
211,San Quintin,MX,2021-05-30 20:04:19,30.4833,-115.95,65.57,62,67,15.86
212,Leticia,CO,2021-05-30 20:04:19,-4.2153,-69.9406,82.67,75,97,2.08
213,Miraflores,MX,2021-05-30 20:04:20,19.2167,-98.8083,79.45,27,59,1.3
214,Longyearbyen,SJ,2021-05-30 20:02:17,78.2186,15.6401,33.64,75,75,2.3
215,Makokou,GA,2021-05-30 20:04:21,0.5738,12.8642,73.18,95,94,2.71
216,Townsville,AU,2021-05-30 20:04:21,-19.25,146.8,63.48,88,90,2.3
217,Aswan,EG,2021-05-30 20:04:22,24.0934,32.907,94.01,10,89,9.01
218,Lompoc,US,2021-05-30 20:00:49,34.6391,-120.4579,79.02,73,8,10.0
219,Arman,RU,2021-05-30 20:04:22,59.7,150.1667,36.95,99,100,5.1
220,Kangasala,FI,2021-05-30 20:04:23,61.4638,24.076,55.94,70,66,4.21
221,Saint-Joseph,RE,2021-05-30 20:04:23,-21.3667,55.6167,68.38,81,23,4.74
222,Severo-Kurilsk,RU,2021-05-30 20:04:24,50.6789,156.125,38.8,97,100,18.81
223,Sindor,RU,2021-05-30 20:04:24,62.8629,51.8905,33.06,76,19,4.68
224,Makarov,RU,2021-05-30 20:04:24,48.6333,142.8,39.85,82,100,12.8
225,Portland,US,2021-05-30 19:59:54,45.5234,-122.6762,79.38,47,100,1.99
226,Korla,CN,2021-05-30 20:04:25,41.7597,86.1469,76.48,20,3,5.77
227,Hondo,JP,2021-05-30 20:04:25,32.45,130.2,68.95,70,0,3.85
228,Khandyga,RU,2021-05-30 20:04:26,62.6667,135.6,50.07,84,100,5.97
229,Sangar,RU,2021-05-30 20:04:26,63.9242,127.4739,43.0,79,0,2.08
230,Mahbubnagar,IN,2021-05-30 20:04:27,16.7333,77.9833,80.44,67,89,14.54
231,Agboville,CI,2021-05-30 20:04:27,5.928,-4.2132,76.59,92,7,4.65
232,Anaconda,US,2021-05-30 20:04:27,46.1285,-112.9423,68.95,22,0,4.05
233,Constitucion,CL,2021-05-30 20:03:59,-35.3333,-72.4167,59.29,61,100,9.04
234,Mutoko,ZW,2021-05-30 20:04:28,-17.397,32.2268,57.07,35,0,2.68
235,Tucuman,AR,2021-05-30 20:00:18,-26.8241,-65.2226,69.31,33,1,5.28
236,Barcelos,PT,2021-05-30 20:04:29,41.5388,-8.6151,72.91,87,8,2.66
237,Alofi,NU,2021-05-30 20:04:29,-19.0595,-169.9187,82.29,83,40,6.91
238,Zaria,NG,2021-05-30 20:04:29,11.1113,7.7227,88.03,16,22,6.8
239,Hobyo,SO,2021-05-30 20:04:30,5.3505,48.5268,79.18,83,64,22.24
240,Guerrero Negro,MX,2021-05-30 20:03:53,27.9769,-114.0611,67.55,57,6,17.36
241,Leningradskiy,RU,2021-05-30 20:04:30,69.3833,178.4167,36.07,92,79,1.7
242,Airai,TL,2021-05-30 20:03:57,-8.9266,125.4092,57.9,87,100,1.63
243,Port Lincoln,AU,2021-05-30 20:04:31,-34.7333,135.8667,55.35,40,100,12.95
244,Cherskiy,RU,2021-05-30 20:04:31,68.75,161.3,57.47,35,0,7.85
245,Timra,SE,2021-05-30 20:04:32,62.487,17.3257,60.51,66,100,1.14
246,Tanout,NE,2021-05-30 20:04:32,14.9709,8.8879,90.36,7,0,10.29
247,Susanville,US,2021-05-30 20:04:33,40.4163,-120.653,83.82,14,1,3.0
248,Axim,GH,2021-05-30 20:04:33,4.8699,-2.2405,80.62,81,77,8.99
249,Santa Cruz Del Sur,CU,2021-05-30 20:04:33,20.7147,-77.9956,85.44,60,10,7.67
250,Saint-Augustin,CA,2021-05-30 20:04:34,51.226,-58.6502,62.62,34,5,9.31
251,Kralendijk,BQ,2021-05-30 20:01:00,12.15,-68.2667,80.44,78,99,18.37
252,Kijang,KR,2021-05-30 20:03:35,35.2442,129.2139,62.49,81,11,2.21
253,Mackenzie,CA,2021-05-30 20:00:39,55.2999,-123.1698,60.67,49,100,11.7
254,Kamenka,RU,2021-05-30 20:04:34,51.3223,42.7678,60.13,97,44,7.23
255,Isla Vista,US,2021-05-30 20:04:35,34.4133,-119.861,86.13,65,20,8.05
256,Kampong Cham,KH,2021-05-30 20:02:49,11.9934,105.4635,80.51,81,55,5.35
257,Tomatlan,MX,2021-05-30 20:04:35,19.9333,-105.25,93.27,30,95,11.18
258,Dryden,CA,2021-05-30 20:04:36,49.7833,-92.7503,61.25,56,100,6.91
259,Fernley,US,2021-05-30 20:04:36,39.608,-119.2518,85.32,11,12,7.14
260,Kisanga,TZ,2021-05-30 20:04:36,-7.4362,37.7034,69.26,78,13,1.68
261,Ghorawal,IN,2021-05-30 20:04:37,24.7667,82.7833,84.52,57,5,3.33
262,Kandrian,PG,2021-05-30 20:04:37,-6.2167,149.55,77.86,91,99,11.03
263,Areia Branca,BR,2021-05-30 20:04:38,-4.9561,-37.1369,81.66,74,6,14.58
264,Suleja,NG,2021-05-30 20:03:39,9.1758,7.1808,82.38,59,84,4.03
265,Carnarvon,AU,2021-05-30 20:03:03,-24.8667,113.6333,66.24,64,68,15.48
266,Rio Grande,BR,2021-05-30 20:04:39,-32.035,-52.0986,54.95,49,0,10.04
267,Masallatah,LY,2021-05-30 20:04:39,32.6167,14.0,67.6,74,6,6.6
268,Chapulhuacan,MX,2021-05-30 20:04:39,21.1667,-98.9,88.18,41,50,7.78
269,Sitka,US,2021-05-30 20:00:31,57.0531,-135.33,50.02,89,100,4.25
270,Sungurlu,TR,2021-05-30 20:04:40,40.1675,34.3739,63.27,64,31,7.81
271,Vysokogornyy,RU,2021-05-30 20:04:40,50.1167,139.15,38.73,86,15,1.54
272,Carupano,VE,2021-05-30 20:04:41,10.6678,-63.2585,83.08,70,66,14.9
273,Letka,RU,2021-05-30 20:04:41,59.6011,49.4232,37.62,68,39,8.3
274,Bhawanipatna,IN,2021-05-30 20:04:42,19.9,83.1667,85.89,51,100,5.39
275,Usinsk,RU,2021-05-30 20:04:42,65.9939,57.5281,39.0,73,100,13.15
276,Mabaruma,GY,2021-05-30 20:04:42,8.2,-59.7833,77.45,94,100,5.57
277,Camden,US,2021-05-30 20:02:13,39.7835,-74.9663,52.86,95,100,10.36
278,Panaba,MX,2021-05-30 20:04:43,21.2833,-88.2667,88.43,50,97,13.73
279,Baffa,PK,2021-05-30 20:04:43,34.4378,73.2194,70.68,52,2,6.85
280,Bella Union,UY,2021-05-30 20:04:44,-30.2752,-57.6007,57.25,61,7,3.62
281,Chiang Khong,TH,2021-05-30 20:04:44,20.2613,100.4046,74.05,98,95,0.13
282,Waipawa,NZ,2021-05-30 20:04:45,-41.4122,175.5153,49.03,87,100,5.84
283,Necochea,AR,2021-05-30 20:04:45,-38.5473,-58.7368,55.04,45,70,11.36
284,Bonthe,SL,2021-05-30 20:04:45,7.5264,-12.505,80.19,83,100,8.5
285,Manaure,CO,2021-05-30 20:04:46,11.7751,-72.4445,89.29,46,72,14.9
286,Luwuk,ID,2021-05-30 20:04:46,-0.9516,122.7875,76.96,89,98,4.05
287,Arlit,NE,2021-05-30 20:04:47,18.7369,7.3853,95.83,7,93,13.04
288,Porbandar,IN,2021-05-30 20:04:47,21.6422,69.6093,83.46,77,98,13.78
289,Samarai,PG,2021-05-30 20:04:48,-10.6167,150.6667,79.41,75,100,14.88
290,Fallon,US,2021-05-30 20:04:48,39.4735,-118.7774,85.42,9,20,3.44
291,Mazagao,BR,2021-05-30 20:04:48,-0.115,-51.2894,81.36,84,10,3.67
292,Dasoguz,TM,2021-05-30 20:04:49,41.8363,59.9666,91.69,13,6,7.83
293,Aykhal,RU,2021-05-30 20:04:49,66.0,111.5,50.54,47,11,3.91
294,Rabo De Peixe,PT,2021-05-30 20:04:49,37.8,-25.5833,65.71,63,20,9.62
